image_path,usage,emotion,label_index,dataset_index
FER-Original-Dataset/FER/calm/5314.png,training,calm,2,0
FER-Original-Dataset-Augmented/FER/anger/1604_posterize_effect.png,training,anger,0,1
FER-Original-Dataset-Augmented/FER/calm/5285_large_squares.png,training,calm,2,2
FER-Original-Dataset-Augmented/FER/surprise/1093_strong_blur.png,training,surprise,3,3
FER-Original-Dataset-Augmented/FER/fear/2078_thin_bars.png,training,fear,1,4
FER-Original-Dataset-Augmented/FER/calm/2583_motion_blur_left.png,training,calm,2,5
FER-Original-Dataset/FER/anger/3727.png,training,anger,0,6
FER-Original-Dataset/FER/anger/3494.png,training,anger,0,7
FER-Original-Dataset-Augmented/FER/fear/3590_perspective_strong.png,training,fear,1,8
FER-Original-Dataset-Augmented/FER/fear/2884_invert_colors.png,training,fear,1,9
FER-Original-Dataset/FER/calm/3648.png,training,calm,2,10
FER-Original-Dataset/FER/surprise/975.png,training,surprise,3,11
FER-Original-Dataset/FER/surprise/3733.png,training,surprise,3,12
FER-Original-Dataset/FER/calm/5258.png,training,calm,2,13
FER-Original-Dataset/FER/anger/3307.png,training,anger,0,14
FER-Original-Dataset-Augmented/FER/fear/2627_strong_blur.png,training,fear,1,15
FER-Original-Dataset/FER/calm/3899.png,training,calm,2,16
FER-Original-Dataset/FER/anger/4189.png,training,anger,0,17
FER-Original-Dataset/FER/anger/878.png,training,anger,0,18
FER-Original-Dataset/FER/fear/2578.png,training,fear,1,19
FER-Original-Dataset/FER/anger/776.png,training,anger,0,20
FER-Original-Dataset-Augmented/FER/calm/2875_large_squares.png,training,calm,2,21
FER-Original-Dataset/FER/fear/2800.png,training,fear,1,22
FER-Original-Dataset/FER/fear/1907.png,training,fear,1,23
FER-Original-Dataset/FER/anger/3549.png,training,anger,0,24
FER-Original-Dataset/FER/calm/2756.png,training,calm,2,25
FER-Original-Dataset/FER/anger/4814.png,training,anger,0,26
FER-Original-Dataset-Augmented/FER/fear/4630_contrast_very_high.png,training,fear,1,27
FER-Original-Dataset/FER/fear/138.png,training,fear,1,28
FER-Original-Dataset/FER/calm/445.png,training,calm,2,29
